City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Alibag,IN,86.07,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
295,Safford,US,83.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
297,Salamina,GR,77.85,few clouds,37.9643,23.4965,Villa Fiamegou
299,Senador Guiomard,BR,85.75,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
302,Salinopolis,BR,81.09,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
304,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
306,Pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
307,Cairns,AU,73.35,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
309,Lasa,IT,77.88,light rain,46.6166,10.7002,Pension Feldgärtenhof
310,Ca Mau,VN,77.79,light rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
323,Hanting,CN,72.18,broken clouds,36.7708,119.2108,Weifang Xinhongda Guesthouse
327,Kupang,ID,76.23,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
330,Gazanjyk,TM,73.22,clear sky,39.2446,55.5154,Railway motel
332,Nsanje,MW,73.31,clear sky,-16.92,35.262,Nsanje Discovery Lodge
341,Phetchabun,TH,74.37,overcast clouds,16.25,101.0833,วินธนา รีสอร์ท
343,Soyo,AO,75.56,broken clouds,-6.1349,12.3689,Hotel Mpampa
344,Arrecife,ES,73.38,few clouds,28.963,-13.5477,Hotel Lancelot
346,Agen,FR,82.56,clear sky,44.2,0.6333,Appart'City Agen Centre - Appart Hôtel
350,Suffolk,US,89.89,clear sky,40.8668,-72.7996,Greenwood Village
356,Omboue,GA,75.34,few clouds,-1.5746,9.2618,Hotel Olako
357,Kendari,ID,74.44,few clouds,-3.945,122.4989,Hotel Wixel
359,Prado,BR,75.2,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
360,Najran,SA,84.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
366,Shiraz,IR,80.04,clear sky,29.6036,52.5388,Shams Hotel
370,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
371,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
373,Faanui,PF,80.44,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
376,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
384,Ewa Beach,US,80.55,overcast clouds,21.3156,-158.0072,Base Lodging
387,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
391,Shagamu,NG,80.38,moderate rain,6.8432,3.6478,Remo Majestic Hotel
392,Lompoc,US,73.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
393,Buala,SB,79.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
398,Winneba,GH,76.42,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
400,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
401,Coracao De Jesus,BR,80.76,few clouds,-16.6853,-44.365,Hotel Neves
402,Morondava,MG,74.61,clear sky,-20.2833,44.2833,La Case Bambou
405,Tatawin,TN,80.04,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
406,Puttur,IN,77.11,overcast clouds,12.7667,75.2167,Hotel Super Tower
407,Pocone,BR,89.19,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
412,Hambantota,LK,79.43,broken clouds,6.1241,81.1185,Bungalow 63
413,Vanimo,PG,77.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
414,Lorengau,PG,82.9,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
420,San Ramon,US,81.81,clear sky,37.7799,-121.978,San Ramon Marriott
424,Casa Nova,BR,86.13,scattered clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
426,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
428,Kisangani,CD,74.28,light rain,0.5167,25.2,Grand Ramela Hotel
429,Puerto Narino,CO,80.96,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
432,San Policarpo,PH,79.12,scattered clouds,12.1791,125.5072,Agapita M. Nicart
436,Conde,BR,80.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
